ID;Title;Text
1;Что такое искусственный интеллект?;"Огромная волна интереса, развития мифов и различных страхов по отношению к искусственному интеллекту (ИИ) поднялась достаточно давно. По мнению исследователей, общество как раз находится на гребне данной волны, ведь фантастика в старых голливудских фильмах о роботах-убийцах и киборгах начинает сбываться, вспомним хотя бы фильм «Короткое замыкание» со слоганом «Номер пять - жив!», где небольшой боевой робот на гусеничном шасси, один из пяти, подвергается удару высокого напряжения и у него просыпается некоторый интеллект, робот начинает изучать мир по-своему. Прошло всего лишь около четверти века с момента выхода фильма, но уже сейчас нет никакой фантастики в происходящем на экране. Для искусственного интеллекта существует два основных определения: наука и технология создания интеллектуальных машин, особенно интеллектуальных компьютерных программ; свойство интеллектуальных систем выполнять творческие функции, которые традиционно считаются прерогативой человека. Так вот полноценный ИИ, который смог бы решать творческие задачи, т.е. такой, который отвечал бы второму определению, еще пока не создан, и пока нет каких-либо внятных идей о том как его создать. Заставить компьютер решать творческую задачу, чрезвычайно тяжело. На данный момент он способен только обрабатывать огромные объемы информации, и решать определённые задачи в соответствии с ранее запрограммированным алгоритмом. Если же рассмотреть первое определение ИИ, то на данный момент создано уже очень много устройств, программ и машин, которые подпадают под такое определение, и в таком случае, можно сказать, что определенными плодами работ над созданием искусственного интеллекта человечество уже давно пользуется. Каждый день мы слышим о проявлении ИИ и машинного обучения как совокупности мощных инструментов для интеллектуального анализа и синтеза различной информации, включая понимание человеческого языка и распознавание образов. Ярким примером является применение искусственного интеллекта при самостоятельном вождении автомобиля без помощи человека. Одновременно со всеми положительными возможностями ИИ у нас есть некоторая каста уважаемых мыслителей говорящих, что мы должны быть чрезвычайно бдительными в росте возможностей ИИ, потому что суперумные и мыслящие машины способны развить смертоносное презрение к нам, ведущее к гибели человечества. Эти же машины, могут и от """"великой (запрограммированной) любви"""" к человечеству, решить, что они обязаны захватить власть на Земле и обеспечить мир, покой и процветание человечества. И может здоровье и сытость людей в этом случае даже и вырастет под управлением умных машин, но вряд ли, тем не менее, кому-то из людей понравится такое положение дел. Существует и убеждение людей в том, что сверхразвитие ИИ просто невозможно, ведь машины никогда не будут в состоянии думать так же, как это делают люди. Между тем, очень хорошо финансируемые компании утверждают о способности обеспечить практически любое решение ИИ для вашего бизнеса сегодня. Стоит отметить, если некоторые люди думают, что никакой системе ИИ не убить нас, то безусловно не стоит забывать, что роботы и различные системы управления будут отнимать все наши рабочие места и вскоре смогут оставить без работы большую часть человечества. И хотя ясно, что в этом случае роботы сами же и произведут достаточно товаров для всех, и минимальные потребности безработных будут удовлетворены. Тем не менее, наличие огромных масс шатающихся без дела людей, может привести к непредсказуемым и серьезным социальным конфликтам, сдвигам и проблемам. В стремлении разумных людей прорваться через информационный шум и добраться до сути, чем же является ИИ и что он может сделать полезного для нас, и действительно ли мы должны беспокоиться о том, что роботы оставят нас без работы или убьют когда-нибудь во время сна — нет ничего странного, ведь в итоге каждому хочется спокойно жить. Многие из компаний уже используют различные возможности ИИ, осталось только заставить работать данный интеллект полностью в наших интересах. Наиболее вероятным негативным вариантом развития будет теория, где за мощью ИИ сможет стать злой гений человека и под диктатом этого злого гения ИИ сможет творить зло, но конечно не сам по себе, но как следствие воли человека. Ведь само по себе зло не может быть целью суперумного """"существа"""", такое """"существо"""" никогда не начнет действовать только ради того чтобы сотворить зло как таковое. Человечество может опасаться только того, что по своей """"воле"""" ИИ попытается принудить людей вести себя так, как ему будет казаться правильным, а не так как будут хотеть вести себя люди. В поисках далёкого будущего не стоит забывать о уже некоторых решаемых ИИ каждодневных задачах... Во-первых, ИИ позволит нам уже сегодня создавать системы в которых отсутствуют предрассудки и предубеждения человека, что исключит всякую коррупцию, симпатию и антипатию и так далее. Во-вторых, ИИ предоставляет мощные функциональные возможности, которые используются уже на рабочем месте самим человеком. В-третьих, умные машины являются единственным инструментом, которым мы сможем обработать огромные количества данных, которые как снежный ком растут вокруг нас. ИИ будет иметь возможность анализировать, интерпретировать и осмысливать данные в огромных масштабах, которые не представляется возможным для обработки нашим собственным умом. Да и честно говоря, ведь людям и не интересно сидеть и сутками обрабатывать сухие цифры, нам интересно делать выводы и принимать решения, на основе правильно обработанной и поданной информации (чем и занимается сегодня ИИ).В итоге мы имеем уменьшение использования человеческих ресурсов и перекладывание оных на ИИ, что позволяет нам тратить меньше времени на рутинные работы и оставляет больше времени на осмысление себя как человека и решение творческих задач, которые пока не способен решить ни один компьютер. И речь здесь идет не только о научных и технологических задачах, но и обо всех остальных творческих задачах, которые ставят и решают люди и только люди: как красивее построить, нарисовать, станцевать, спеть, как вкуснее приготовить, как проявить больше любви к ближнему, как подарить ему больше тепла, как лучше воспитать детей и так далее. Вот над решением каких вопросов смогут люди задумываться больше, если ИИ снимет с нас решение рутинных задач, обработку сухой информации, и даже производство и доставку базовых материальных ценностей."
2;Как изучить Data Science?;"Сферы нейронных сетей, а также Data Science набирают большую популярность. В статье вы узнаете что такое Data Science и как её можно изучить. Остались ли те, кто ещё ничего не знает о «big data»? Наверное, такого человека уже не найти. За последнее время интерес к данной отрасли значительно увеличился, особенно со стороны акул в сфере IT. Крупным компаниям, занимающимся IT, постоянно приходится изобретать всё лучшие решения, которые помогли бы работать с огромными объёмами данных. Хоть о данном вопросе уже слышали многие, но представление имеют лишь единицы. Мало, кто знает о специалистах в данной сфере и о том, чем они занимаются. Если у вас мало информации об этой сфере, но есть интерес, добро пожаловать к прочтению данного материала. Что делает отрасль Data Science? Data Analyst – это те сотрудники, у которых в обязанности входит обработка, анализ данных и переработка их в результаты понятные для человека. Сюда обычно относят спецов в машинном обучении, биг дата, data mining и аналитиков. Data Scientist - эксперты в сфере аналитической обработки информации, обладающие навыками для достижения относительно сложных целей. Конечно же, чертой хорошего специалиста является любопытство, за счёт которого и удаётся находить экстраординарные способы решения задач. Очень часто они имеют математические склонности ума, хорошо владеют компьютерами и всем, что с ними связано, а также от части являются трендспоттерами. От Data Scientist требуется наличие практических навыков и знаний, основанных на реальных проектах. Им нужно знать основные способы статистического анализа, уметь справляться с огромными базами данных, обладать способностью к нахождению закономерностей в этой информации. Одним из важнейших навыков является умение строить математические модели. Как стать специалистом в машинном обучении и Data Science? Существует множество уроков, книжек и материалов для изучения Data Science. Мы за самостоятельное изучение, но зачастую оно не дает нужного эффекта. Обучаясь со специалистами, вы получаете не только теорию и практику, но также поддержку со стороны лектора, новейшие материалы и реальный шанс на получение желаемой должности после обучения. В SkillFactory предлагают освоить специализацию в три этапа. У ребят открыт набор на курс ""Практический Machine Learning"", где под руководством опытного data scientist’а вы освоите все современные методы машинного обучения и научитесь работать с нейронными сетями. Этот курс даст возможность перейти на следующую ступень — Deep Learning, где вы пройдете полный путь от аренды GPU-сервера до создания полноценной рабочей модели для компьютерного зрения, анализа естественного языка и рекомендательных систем. А для желающих охватить сразу весь цикл обучения Data Science, начиная с изучения языка Python для анализа данных, классического машинного обучения и, наконец, перейти к нейросетям и deep learning, стартовал набор на курс ""Специализация Data Scientist"", после прохождения которого вы сможете на практике решать задачи машинного обучения и начать карьеру как Data Scientist. Что необходимо знать? Сфера Data Science довольно объёмная и, не будем скрывать, сложная. Поэтому к специалисту предъявляется немало требований. Ниже описаны основные знания, которыми нужно обладать. Визуализация массивов информации. Для лучшего понимания содержимого данных и их анализа нужно часто перерабатывать сухой текст в наглядную графику; Машинное обучение – это одно из направлений ИИ, в основе которого заложены математические начала и автоматизация; Глубокое обучение – это подвид машинного обучения, в котором применяются данные для создания моделей в сложных абстракциях; Определение образов является технологией, отвечающей за определение конкретных шаблонов среди всего потока данных. Часто применяется вместо машинного обучения; Сбор данных подразумевает получение информации в неподготовленном виде и переработка её в формат, который уже может использоваться человеком; Аналитика текстовых данных - анализ всей полученной информации для обнаружения закономерность и построения бизнес-идей. В дополнение к выше перечисленному следует иметь уверенное понимание: Принципов статистики; Статических языков программирования, лучший из них Python, но также часто используется SAS и R; Основных баз данных: Postgres и MySQL; Компьютерных технологий по визуализации информации; Набора Hadoop и модели MapReduce. Зарплаты В нынешнем состоянии рынка труда, Data Scientist в Америке в среднем зарабатывают $91 тысячу, но всё зависит от опыта. Ниже приведён скриншот зависимости заработной платы от опыта. В отечественных реалиях эта цифра намного меньше. Начинающий специалист может получать около 60-90 тысяч рублей ежемесячно. Заработок экспертов доходит до 220 тысяч рублей. Что конкретно делают работники этой сферы? Какие поручения выполняют специалисты в ежедневной рутине? Их жизнь постоянно связана с ограничениями, которые препятствую в реализации новых решений. Норма жизни Big Data спецов – решение методологических, технических и других проблем. Им постоянно приходится анализировать, открывать новые закономерности и строить прогнозы. Это по большей части научная сфера, в которой есть и доля творчества. Специалисты должны иметь незаурядную смекалку, которая поможет им находить решения трудных задач. Творческая нотка поможет им в удачной визуализации данных. Для примера рассмотрим жизненную задачу Data Scientist: «Джонатант Голдман – это специалист в сфере физики, проходящий обучение в Стэнфорде. Он получил работу в известной соцсети LinkedIn и в его обязанности входила работа, которую нельзя замерить по KPI или увидеть её наглядный результат. Работа заключалась в искоренении багов сайта и внедрении фич. Остальная часть разработчиков постоянно раздумывала о способах модернизации сайта и увеличении его пропускной способности. Голдман отвечал за разработку системы, которая бы подсказывала пользователю профиля, кто ещё на сайте может быть ему знакомым. Голдман добился того, чтобы компания попробовала внедрить данную модель. Он принёс социальной сети миллионы дополнительных просмотров, а значит – существенно ускорил её развитие». Не существует какого-то универсального определения данной профессии, очень многое зависит от направления деятельности. Тем не менее есть те задачи, которые выполняет каждый из Data Scientist: Сбор огромного объёма неупорядоченных данных и их переработка в доступный для понимания формат. Достижение бизнес-задач, связанных с применением данных; Применение нескольких языков программирования; Постоянная работа со статистикой; Применение аналитических способов структурирования данных; Баланс между ИТ и бизнесом; Поиск закономерностей и создание шаблонов, выявление трендов и тенденций, что можно использовать компанией для увеличения заработка."
3;В каких сферах стоит использовать Python;Язык программирования Python действительно универсален. Он применим во многих сферах информационных технологий, разработки и программирования. Автоматизация. Самой очевидной задачей для Python является автоматизация. Язык позволит быстро адаптировать рабочие процессы при помощи доступных библиотек. Даже начинающим программистам будет несложно их освоить, а затем применить в работе. Теперь можно забыть о рутинных повторяющихся задачах, написав несложный код для автоматизации. Веб-скрейпинг. Для сбора данных с различных сайтов имеется свое определение – веб-скрейпинг. Процесс чаще всего используют в своей работе аналитики различного профиля. Но данные сегодня окружают нас повсюду, поэтому собирать их нужно специалистам многих профессий. А инструмент для облегчения этого процесса и предлагает язык программирования Python. Он именуется скрейпер – автоматический бот, который пособен быстро и достоверно копировать огромный поток данных с сайтов и вставлять их в определенную таблицу. Реализовать скрейпера при помощи Python несложно, а польза – колоссальная. Представьте, что больше не нужно выполнять сбор вручную и тратить по несколько часов к ряду, все доступно автоматически. Получайте миллионы точек данных из интернета всего за несколько минут и используйте в своих целях. А если поток небольшой – скрейперу удастся выполнить задачу всего за пару секунд. Анализ данных и наука о данных. Интернет наполнен огромным потоком данных, пользователи ежесекундно делятся друг с другом какой-либо информацией. В каждой даже небольшой компании хранятся и постоянно задействуется сотни терабайт инфы. Многие даже приравнивают последнюю к нефти за ее ценность в сегодняшних реалиях. А по прогнозам к 2025 году объем генерируемых данных в мире может вырасти на 530%. Язык программирования Python дает возможность производить обработку, чистку и визуализацию данных. Все это доступно при помощи различных библиотек, например Numpy, Seaborn и пр. Также его используют для машинного обучения. Профессионалы, которые работают в сфере науки о данных, применяют Python в работе моделей, предсказывающих определенный ответ после анализа переданной информации. Веб-разработка. Для работы с бэкенд в распоряжении Python имеются сразу несколько годных фреймворков. При помощи Django и Flask можно создать отличную серверную часть сайта. Но для фронтенда потребуется обратиться к старым добрым JS, HTML и CSS. Наиболее простой из них конечно HTML, а при использовании языков CSS и JS достаточно просто применить Bootstrap, чтобы не прописывать код с нуля. Сегодня Python используют многие сайты от мала до велика в качестве отличного инструмента в бекенд-разработке. Машинное обучение и ИИ. Машины уже во всю способны обучаться при проведении автоматизированного анализа некоторого объема данных. При этом в процессе машинного обучения минимизирована потребность в программировании. Для реализации таких задач подходят множество библиотек, например, Numby, PyTorch, Pandas и пр. С их помощью можно легко осуществить все математические расчеты, т.к. они способны сделать их автоматически без человеческой помощи. Достаточно будет создать алгоритм и все готово! Остается лишь провести анализ полученных результатов и подобрать оптимальное решение для дальнейших задач.
4;Что не нужно делать при помощи Python;Несмотря на масштабное использование Python в разных сферах IT, он все же не является идеальным решением для некоторых задач. Есть более подходящие ЯП для реализации следующих процессов. Разработка игр.Да, мы тоже знаем, что в Python есть библиотека Pygame, которая подходит для разработки игр, но вопрос “каких?”. С ее помощью можно создать примитивную “Змейку”, а вот на что-то большее она не способна. В библиотеке не найдется и четверти функций, которые нужны хотя бы для обычной аркады или маломальского шутера. Для геймдева идеальным инструментом станет С++. Он сегодня является самым востребованным языком для реализации игровых движков. В нем также имеются все инструменты для отличной графики и звукового сопровождения. Даже ботов на базе искусственного интеллекта можно с легкостью внедрять в игру, написанную на С++. Кроме того, для создания полного жизненного пути игры подойдут Java, JS и C#. Десктопные приложения. И для реализации десктопных приложений имеются библиотеки, по типу Tkinter. Последняя позволяет сделать какой-никакой GUI – графический интерфейс пользователя, но он не будет иметь ничего общего с качественным продвинутым продуктом. Приложение можно реализовать только со стандартным и примитивным интерфейсом. Для чего-то более глобального и стоящего лучше использовать C#, С++ и Java. Также Python не лучшее решение для реализации проектов, требующих высокой скорости выполнения кода. Если важна каждая секундочка – лучше использовать другие более быстрые языки программирования. Да, его не рекомендуют использовать именно для масштабных продуктов по типу ОС, микропроцессоров и космических аппаратов НАСА, но для остального он вполне сносный. А к более быстрым и оправданным языкам программирования можно отнести С и С++.
5;Кто это – Python разработчик?;Python входит в ТОП-3 самых популярных языков программирования вот уже несколько лет подряд. Это объективные данные Stackoverflow, системы вопросов и ответов для программистов со всего мира. Многие программисты начинают свой путь в разработке, именно с него. Одной из причин такого явления считается отсутствие потребности в глубоком понимании других языков. Язык программирования Python отличается своей простотой как в обучении, так и во взаимодействии с ним. Специалисты используют его возможности практически повсеместно для: Веб-разработки. Язык имеет несколько популярных фреймворков для работы. Например, Django и Flask. С их помощью намного легче писать код, управлять инструментами и реализовывать весь жизненный путь приложений. В них в качестве панели управления имеется CMS, готовые системы для авторизации и инструменты для работы с базами данных. Django выбирают большинство программистов для выполнения своих ежедневных задач. Математических вычислений. Для выполнения этих задач также найдется множество готовых инструментов. Например, библиотеки Matplotlib и seaborn ориентированы для перевода информации из двухмерной графики в визуал, а SciPy для расчетов научного и инженерного типа. Программного обеспечения. При использовании внутренней библиотеки tkinter получится разработать ПО под любую ОС. А за счет высокой производительности самого языка, этот процесс будет удобен в реализации. ИИ. Достаточно создать пару строк кода, чтобы заработал готовый ИИ с самообучающейся системой. Так, с его помощью легко перевести любой код, написанный на Python, в С++, который будет более быстрым. С этими возможностями язык еще более прост и идеален для работы. Автоматизации. Достаточно написать нужный скрипт, и он поможет в автоматизации всей работы. Его также можно проработать и использовать для выполнения других задач. Машинного обучения. С помощью специального набора алгоритмов достаточно загрузить лишь начальные и конечные данные какого-либо массива, чтобы заработала матрица. После того как информация пройдет через нее, программист получит желаемый ответ. Кроме того, эти алгоритмы также можно научить искать закономерности в потоке разных значений, чтобы они самостоятельно приводили к нужным результатам. Глубокого обучения. Это разновидность машинного обучения, в основе которой лежит обучение представлениям, а не алгоритмам, что позволяет создать целый комплекс, подобный нейронным связям человека. С его помощью можно автоматизировать многие процессы, связанные с обработкой данных.Администрирования. С помощью командной оболочки Bash администраторы также могут автоматизировать многие рабочие процессы. Python разработчик, как правило, специализируются в создании разных продуктов, отвечающих целям проекта. Чаще всего это разработка всей серверной части веб-приложений. Успешный специалист умеет качественно выполнять все этапы – планировать, писать масштабируемый код, проводить тестирование и выводить продукт на рынок. Программист должен иметь большой опыт ведения проектов и уметь подстраиваться под все условия его создания.
6;Что должен знать каждый разработчик Python: 8 основных технологий;"У каждого разработчика имеется свой набор технологий и инструментов, которые он использует в своей работе. Их выбор осуществляется в течение всего профессионального пути. Так, специалист что-то находит удобным, а что-то нет и формирует свой личный список фаворитов. Сегодня мы решили помочь как начинающим разработчикам Python, так и спецам, поэтому разберем 8 необходимых технологий, без которых никак не обойтись в работе в любой сфере от инжиниринга до бекенда. И нет, этот список не взят с потолка, он основан на опыте профи и стандартных списках требований к кандидатам различных мировых компаний. Алгоритмы Для того чтобы быстрее и эффективнее решать задачи, где фигурируют большие данные – пригодятся алгоритмы. Они помогут получить результат с меньшими затратами ресурсов, а вам не придется корпеть над каждым решением. Для их понимания достаточно прочесть книгу Адитья Бхаргава “Грокаем алгоритмы”, она написана понятным языком, и с ней вы узнаете все, что пригодится в работе: определение алгоритмической сложности; понятие об О-нотации; правила оценки сложности алгоритма (очень пригодится на собеседовании); виды алгоритмов сортировок и их особенности. Главное, книга поможет не зацикливаться на зубрежке, которая лишь отнимет время, а понять принцип и концепцию. Git Распределенная система управления версиями – Git – это must-have при работе с большими проектами и выполнении задач вместе с другими разработчиками. Она позволяет отслеживать и фиксировать все изменения внесенные по ходу работы, что исключает риск потери какой-то части кода. Git лидер среди подобных себе систем, но чтобы преуспеть в ее использовании следует также изучить: разные типы команд – от add до merge и rebase; виды и правила создания репозиториев; умение делать коммиты и работать с ними; научиться работать с ветвями. SQL и базы данных Среды, где хранятся все необходимые данные – это пожалуй самое простое для понимания и самое важное в работе. Но для работы с ними требуется ориентироваться во многих аспектах: особенностях и правилах использования базы данных реляционного типа; понятии и правилах использования NOSQL; понимании всех команд для создания и управления таблицей; работе с выборками по колонкам при разных условиях. Совет, если задачи между таблицами можно решить с использованием join, лучше применять первый вариант или оба сразу, а если они связаны с постоянно переменными структур данных – подойдет NOSQL. Агрегационные функции Учить все агрегационные функции необязательно, но важно разобраться с count, average, groupby и sum, а также понимать, каким образом они функционируют и для чего используются. Например, их можно применить для расчета среднего значения в одной колонке. Достаточно взть функцию, свести все к одному значению и распределить группировку для нее. Также пригодится join. Они помогут создать сравнение двух несвязанных друг с другом таблиц, сделав подселекты и собрав все стыковочные данные. Понимание оконных функций – не обязательно, но если вы хотите стать гуру SQL, то можете заморочиться и с ними. Алгоритмы на графах Графы это абстрактное изображение соединений между разными группами посредствам точек и линий. Точка является вершиной графа, а линия – ребром, соединяющим две эти точки. Количество ребер определяет степень вершины. А алгоритмы на графах – это тот же граф, который удовлетворяет операциям алгоритма. Для ориентирования во всех этих процессах следует изучить поиск в ширину и глубину, а также алгоритм Дейкстри. Например, когда создается даже самый элементарный файловый менеджер и необходимо найти определенные файлы – это является стандартным примером поиска в ширину или глубину. Такой же принцип, когда необходимо создать или удалить файлы по одному из условий в созданном скрипте. Чтобы ускорить эти процессы и не осуществлять поиск вручную, достаточно изучить алгоритмы на графах. Рекурсия Рекурсия – это элемент, который легко можно заменить на цикл и, наоборот, цикл также легко заменить рекурсией. При этом ее писать намного сложнее, так же как и поддерживать. Хотя есть ситуации, когда именно цикл сложен в реализации, тогда на помощь придет, вызывающая сама себя, функция. Если предупредит возможный риск ошибки максимальной глубины и не обращать внимание на затраты памяти, то рекурсию можно применять даже в работе алгоритмами. Структуры данных Для оптимального хранения данных в работе придется использовать структуры данных. А чтобы работать с ними, потребуется знание следующих аспектов: хеш-таблицы; графы и массивы; множество и связанные списки; стеки, очереди и деки. Docker Отличным инструментом для автоматизации управления и взаимодействия с различными приложениями является Docker. Для работы с ним потребуется знание: образа и контейнера; сетки и тома; правил написания файлов. Без понимания этих вещей не удастся понять даже базовый принцип работы инструмента."
